Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,1219.500000,1219.500000,1206.125000,1208.199951,1082.013306,712262
2016-01-04,1205.074951,1207.000000,1183.025024,1184.800049,1061.057739,1870184
2016-01-05,1192.500000,1193.300049,1170.500000,1174.474976,1051.810791,2678020
2016-01-06,1175.099976,1193.074951,1175.099976,1190.800049,1066.431152,2653228
2016-01-07,1185.000000,1191.449951,1180.000000,1185.625000,1061.796509,3199580
2016-01-08,1192.500000,1203.675049,1186.250000,1198.800049,1073.594971,1907544
2016-01-11,1191.250000,1192.000000,1174.425049,1181.175049,1057.811157,2930228
2016-01-12,1181.349976,1182.500000,1150.800049,1163.525024,1042.004639,3482594
2016-01-13,1158.500000,1163.500000,1127.550049,1139.599976,1020.578369,4746092
2016-01-14,1136.500000,1149.449951,1125.000000,1139.400024,1020.399109,2742052
2016-01-15,1144.425049,1145.849976,1127.500000,1130.550049,1012.473511,3269408
2016-01-18,1131.000000,1145.949951,1130.000000,1138.824951,1019.884216,2213922
2016-01-19,1138.500000,1150.000000,1134.150024,1139.650024,1020.623474,967910
2016-01-20,1136.900024,1142.500000,1121.500000,1140.050049,1020.981323,1615954
2016-01-21,1142.500000,1144.949951,1122.875000,1127.250000,1011.959290,2675536
2016-01-22,1136.500000,1151.025024,1130.000000,1147.875000,1030.474976,1343178
2016-01-25,1150.949951,1169.500000,1145.750000,1152.324951,1034.469482,1397560
2016-01-27,1151.000000,1164.974976,1140.949951,1159.875000,1041.247192,1626986
2016-01-28,1157.750000,1174.449951,1154.025024,1165.599976,1046.387085,3106660
2016-01-29,1179.349976,1200.000000,1167.525024,1195.650024,1073.363525,2235744
2016-02-01,1195.550049,1206.474976,1179.500000,1201.349976,1078.480591,1495274
2016-02-02,1204.500000,1216.500000,1189.849976,1199.050049,1076.415894,1475588
2016-02-03,1193.750000,1214.949951,1180.150024,1208.150024,1084.584717,1308692
2016-02-04,1210.949951,1220.000000,1201.000000,1210.025024,1086.268188,1250046
2016-02-05,1204.050049,1219.974976,1204.050049,1210.974976,1087.120972,1402996
2016-02-08,1200.000000,1206.025024,1173.500000,1181.474976,1060.637939,1063658
2016-02-09,1166.800049,1166.800049,1127.800049,1140.699951,1024.033447,2489610
2016-02-10,1137.500000,1144.949951,1129.050049,1134.400024,1018.378235,1890732
2016-02-11,1140.000000,1144.500000,1085.824951,1098.974976,986.575928,1962408
2016-02-12,1100.000000,1121.699951,1082.000000,1113.300049,999.436035,2172568
2016-02-15,1125.000000,1153.425049,1120.000000,1134.574951,1018.534973,2479712
2016-02-16,1133.000000,1141.000000,1121.500000,1132.775024,1016.919250,1588702
2016-02-17,1132.500000,1139.824951,1123.199951,1137.775024,1021.408081,1585178
2016-02-18,1142.500000,1159.875000,1139.000000,1157.925049,1039.496582,1529140
