Date,3MINDIA,AIAENG,APLAPOLLO,AARTIDRUGS,AARTIIND,ABBOTINDIA,ADANIENT,ADANITRANS,AEGISCHEM,AKZOINDIA,ALEMBICLTD,ALKEM,ALKYLAMINE,ALOKINDS,ASIANPAINT,ASTRAZEN,ASTRAL,ATUL,AVANTIFEED,BASF,BAJAJELEC,BAJFINANCE,BAJAJFINSV,BAJAJHLDNG,BALKRISIND,BALMLAWRIE,BALRAMCHIN,BATAINDIA,BERGEPAINT,BHARATRAS,BIOCON,BSOFT,BLUESTARCO,BBTC,BRIGADE,BRITANNIA,CANFINHOME,CAPLIPOINT,CGCL,CARBORUNIV,CHAMBLFERT,CHOLAHLDNG,CHOLAFIN,CUB,COFORGE,COLPAL,COROMANDEL,DCMSHRIRAM,DLF,DABUR,DEEPAKNTR,DELTACORP,DHANI,DIVISLAB,LALPATHLAB,DRREDDY,EIDPARRY,EPL,ESABINDIA,ELGIEQUIP,ESCORTS,FINPIPE,FSL,GARFIBRES,GODREJPROP,GRANULES,GRAPHITE,GRINDWELL,GUJALKALI,GAEL,GUJGASLTD,GNFC,HEG,HCLTECH,HDFCBANK,HATSUN,HAVELLS,HEIDELBERG,HSCL,HINDALCO,HINDUNILVR,HINDZINC,HONAUT,HDFC,ICICIBANK,IFBIND,IOLCP,ITI,INDIACEM,IGL,NAUKRI,INFY,IPCALAB,JBCHEPHARM,JKCEMENT,JKPAPER,JMFINANCIL,JSWSTEEL,JAMNAAUTO,JSLHISAR,JSL,JINDALSTEL,JCHAC,JUBLFOOD,KEI,KNRCON,KANSAINER,KEC,KOLTEPATIL,KOTAKBANK,LINDEINDIA,LUXIND,MRF,MAHSCOOTER,MAHSEAMLES,MANAPPURAM,MARICO,MINDTREE,MINDAIND,MOTILALOFS,MPHASIS,MCX,MUTHOOTFIN,NOCIL,NAVINFLUOR,NESTLEIND,OBEROIRLTY,ORIENTREF,PIIND,PAGEIND,PERSISTENT,PETRONET,PFIZER,PHILIPCARB,PHOENIXLTD,PIDILITIND,POLYMED,POLYPLEX,PGHL,PGHH,RADICO,RAIN,RATNAMANI,RELAXO,RELIANCE,SRF,SANOFI,SHREECEM,SONATSOFTW,STLTECH,SUDARSCHEM,SUNDARMFIN,SUNDRMFAST,SUNTECK,SUPREMEIND,SUPPETRO,SWANENERGY,SYNGENE,TATACOMM,TCS,TATACONSUM,TATAINVEST,TATASTEEL,TECHM,RAMCOCEM,TIMKEN,TITAN,TORNTPHARM,TORNTPOWER,TRENT,TRIDENT,UFLEX,ULTRACEMCO,VGUARD,VMART,VIPIND,VSTIND,VAIBHAVGBL,VENKEYS,VINATIORGA,VOLTAS,WHIRLPOOL,WIPRO,ZYDUSWELL
2016-01-01,11321.950195,867.168823,144.383698,144.525604,248.652145,5673.990234,47.666069,41.049999,102.688416,1264.629517,46.46701,1431.115845,135.826752,6.3,850.608887,1257.276489,257.491547,1635.943237,134.801483,917.11676,196.884262,602.348328,1978.543457,1560.296143,307.418457,69.645645,64.934311,494.963867,180.13356,1059.656006,85.434608,93.009933,362.466522,489.543304,98.383049,1374.428223,211.058197,270.164612,35.601212,177.186127,55.971649,271.863525,122.323257,74.648064,532.243225,881.975403,171.993225,124.259674,114.576752,260.12262,70.372116,77.857872,24.82935,1108.503052,775.301392,2954.24585,190.8479,76.992317,557.919006,61.689739,167.66716,55.296318,29.944544,408.097137,337.0,143.816803,64.262062,348.182648,172.872772,24.821524,122.863594,73.716118,162.695313,385.106506,528.506653,211.460327,303.214447,71.516296,14.88506,82.550529,792.340698,82.705147,8843.249023,1169.114624,225.809006,482.950012,72.154808,31.5,95.737152,99.802933,860.775452,482.005096,731.975403,260.095184,558.339355,43.295921,41.82135,93.92794,26.035192,34.200001,28.5,94.199997,1371.093018,732.600586,115.220779,57.163403,256.649384,150.700241,147.107605,725.56427,306.626221,709.959595,40230.222656,1320.452637,161.738159,26.288834,207.199631,637.536255,59.514202,319.687408,426.103851,856.493469,159.62088,49.655579,361.137939,5278.512695,266.643066,84.295662,645.978821,12920.164063,597.520447,110.501442,2148.595459,22.675764,327.303436,537.176025,186.398987,167.123367,660.768433,5054.263184,113.219566,35.63715,527.014709,251.840683,486.556641,1220.383911,3527.617432,11120.979492,130.863937,91.117172,107.478958,1061.228394,157.728134,116.368629,647.16095,100.242912,68.796211,207.224533,420.124939,1082.013306,145.330505,478.675751,219.907806,461.389832,379.417572,517.723022,340.842285,1374.626953,159.892929,171.599579,4.832099,172.745728,2785.78125,65.210716,614.104858,96.934898,1446.978149,459.678467,324.586823,224.686325,302.245453,638.013733,202.975861,830.219421
2016-01-04,10935.799805,847.834595,145.164093,142.959702,246.615967,5707.625,45.020885,38.650002,102.446335,1249.578613,45.541569,1456.870483,128.364136,6.25,852.593201,1256.027954,255.878937,1658.30127,130.497772,922.714294,194.770279,598.059875,1954.307739,1544.526855,308.316895,68.831039,66.785698,488.870361,181.685257,1096.932373,87.565559,93.202888,356.586914,479.807037,99.247757,1368.077148,206.152786,256.845184,35.054405,175.422882,55.347267,267.475464,122.639244,74.324974,534.915527,879.763123,171.04248,124.170883,111.60746,260.593292,71.47393,80.727081,24.315033,1096.297607,783.550354,2904.257813,190.328506,76.21669,569.599304,61.04813,162.938599,55.711864,29.944544,406.492004,334.049988,140.137772,64.48584,341.361481,172.826431,23.596931,120.880043,74.964035,156.48111,385.1521,519.647705,211.128326,290.405273,69.061172,13.843106,78.515373,794.607056,80.431664,8871.475586,1130.328369,219.412247,474.950012,71.760788,31.1,92.312782,98.344574,814.655273,470.513763,721.769287,261.772369,544.442871,43.20591,42.327995,95.546753,25.527412,35.0,28.049999,92.650002,1327.798096,720.90625,113.319122,55.946007,263.529907,146.277771,143.961395,703.665161,307.453064,708.827332,40184.378906,1303.773315,156.356155,25.535185,205.512085,641.605103,61.120193,312.547516,426.919434,845.175781,159.263687,47.927326,357.775269,5173.263184,254.645355,83.359566,639.11145,12965.78125,595.771606,106.490967,2133.992676,22.20553,322.254456,539.206665,187.574524,165.815872,654.867981,5051.332031,112.000061,35.778568,513.106079,248.222763,476.948517,1204.925171,3492.259277,10804.254883,125.855316,89.159668,104.749634,1079.046387,155.093048,124.053368,647.630859,97.449768,68.397667,205.6866,415.191406,1061.057739,142.650238,471.73584,219.480972,458.151581,378.833557,511.954193,340.212952,1346.231079,175.904358,167.209488,4.669359,170.58287,2711.943848,64.707718,581.427551,93.27697,1441.762329,449.980774,320.425507,222.553543,290.931915,640.025696,203.432037,825.170898
2016-01-05,10784.349609,838.550293,152.120255,143.263153,247.941849,5656.812012,46.872513,38.799999,106.029037,1238.562622,48.902386,1492.621948,131.178802,6.65,871.807617,1234.053833,252.145889,1656.934448,133.71376,923.259399,192.233444,592.664673,1940.843384,1537.502686,308.45874,69.33532,66.695389,480.569733,177.547409,1106.214111,87.55735,93.340729,354.611359,489.046539,98.126839,1365.361816,205.575684,253.293915,39.653461,176.137711,57.131226,275.932343,122.926506,73.436302,528.096619,879.717957,168.280838,126.079857,111.60746,259.699158,71.28231,82.088745,24.174709,1094.199951,788.27771,2918.179932,185.370804,75.62355,563.053223,61.238243,167.174606,56.025833,29.944544,408.388977,334.0,141.380035,64.150192,345.723328,174.957809,24.868622,128.022812,72.913895,157.201599,383.717926,515.715698,207.941605,291.586945,70.516068,13.843106,80.314178,784.385437,83.869614,8868.401367,1123.546631,220.400131,476.200012,73.484627,31.5,98.003975,105.39016,803.99353,468.39856,702.441895,259.629303,542.243713,43.655972,40.854111,99.058762,26.51527,33.25,28.549999,95.900002,1321.918945,716.391296,116.537308,56.648735,270.699158,145.556702,144.77179,706.109497,310.225586,743.767578,40270.988281,1304.7052,159.789505,25.889843,209.480057,650.69342,60.967682,310.845306,422.069,829.654358,158.459991,50.119251,348.678253,5166.51123,263.362061,82.657478,657.424622,13224.466797,590.616577,110.842735,2134.714111,22.684471,338.332825,548.876831,186.854797,166.419327,651.938965,4982.462891,112.487862,35.872845,504.513885,248.173218,481.668884,1238.838013,3482.302002,10867.755859,125.478722,90.37146,105.831947,1067.300537,154.951874,124.590073,660.461304,98.247803,67.102455,209.357788,422.736816,1051.806519,147.266281,476.830963,234.346893,463.031219,387.739868,522.215088,336.630768,1334.704956,177.673584,164.610703,4.765334,172.322571,2696.061768,64.527367,576.304688,93.652122,1441.80481,451.901978,323.020233,220.133163,288.423126,648.319153,203.140244,831.517761
2016-01-06,10644.599609,825.293945,150.328232,142.607681,244.485062,5565.869629,45.62928,38.349998,101.429634,1227.818604,48.512726,1453.871094,127.901192,6.65,858.013977,1252.981445,253.071655,1636.968384,135.337479,923.061157,190.307373,603.474854,1933.41333,1539.735474,308.93158,69.955963,70.172409,479.658142,174.926788,1098.828491,85.852592,91.604019,354.846588,486.264771,98.383049,1381.469727,205.287094,248.516815,39.0383,178.711136,58.023205,277.809052,124.065941,73.395844,524.272583,857.32428,168.190262,129.453796,108.166847,259.6521,70.994888,80.289398,23.520065,1084.378296,806.415649,2894.991699,181.640717,73.866997,548.506226,61.238243,164.564041,55.868855,29.944544,399.487701,330.0,137.605469,62.732899,339.783813,179.266891,22.58429,125.335739,73.716118,154.094498,383.080475,517.997253,206.183228,286.812958,70.015953,15.778164,78.320908,779.852783,80.792076,8841.759766,1123.453613,214.733429,476.049988,73.533882,31.9,94.338463,107.520882,793.674133,466.348938,705.548157,259.163483,542.758362,43.20591,39.656593,96.781441,26.773775,31.6,28.15,93.449997,1317.783691,709.187195,116.29351,55.366989,273.730438,145.027939,140.910553,701.969116,303.902344,739.268372,40098.367188,1318.588989,156.727325,26.820812,206.92598,642.113831,59.407082,315.715576,410.13623,836.814514,158.23674,48.601768,351.420319,5218.610352,265.369812,83.07872,661.2724,13073.080078,591.767151,114.42659,2127.548096,23.224371,328.479889,544.331848,185.775269,167.693298,648.967468,5087.548828,108.926888,35.919987,507.884308,247.90065,494.631287,1302.219482,3459.013916,11188.191406,131.692413,88.88002,103.008507,1067.952759,154.010803,126.053841,653.364624,100.420242,67.152275,207.9935,426.412811,1066.431152,144.188919,476.303925,229.605011,465.870178,380.585602,511.906891,336.776001,1341.11853,198.638794,161.806335,4.798717,174.438431,2698.281494,64.42675,562.875549,93.980408,1437.309814,449.843506,321.404633,217.736801,289.417175,661.716553,202.483627,830.652161
2016-01-07,10673.75,802.753357,144.846161,136.611053,241.927979,5443.218262,42.296364,37.150002,100.316071,1219.15979,45.638981,1397.078003,128.308594,6.25,844.413879,1217.822754,253.310547,1589.17688,132.752106,904.039124,185.562592,603.380981,1921.943726,1542.479858,308.553406,67.728271,67.733978,476.68335,174.513,1074.127319,83.811798,87.937653,349.954742,465.947845,95.116432,1356.088257,197.197968,243.944031,38.061852,178.234573,55.882454,275.615021,123.118019,72.668739,495.568604,826.713684,160.901276,122.084358,100.672951,251.934982,70.132591,76.447556,23.09927,1074.60437,775.494385,2843.245361,176.069199,71.380409,549.319153,59.812439,156.68309,55.240898,29.944544,382.171539,318.399994,132.970795,61.241039,335.259521,173.150787,22.654936,124.329285,73.0476,147.745193,375.636505,512.706055,207.764023,279.392212,68.106415,13.198087,74.528839,758.76178,77.132324,8846.771484,1095.722656,211.856644,465.049988,70.480232,30.049999,89.418968,106.109871,801.352478,458.259216,681.142334,253.013962,529.095886,42.170765,37.722126,93.868484,25.601271,30.1,27.0,83.949997,1256.65271,688.512329,112.782761,54.278263,276.521118,137.817413,134.093842,690.046875,296.26593,710.087585,38756.101563,1271.207031,150.417404,25.845509,204.052643,626.833801,56.438377,309.284973,393.52475,821.755127,158.951141,45.524639,341.267242,5145.115234,258.954712,80.598068,668.432068,12617.203125,577.038574,112.229355,2085.092773,21.996536,322.303467,538.336365,179.058182,162.061066,635.044006,5063.239746,108.487854,34.882927,502.757507,245.943008,485.550476,1261.156616,3429.14209,10725.807617,127.964195,85.384491,99.667442,1075.178223,153.399048,123.101913,653.176636,96.917725,66.903191,203.082031,412.82135,1061.792114,139.026917,467.211731,213.500717,453.183197,379.612183,493.749451,333.096954,1324.527222,195.277283,159.192841,4.523313,167.902832,2631.596191,63.511078,539.001709,89.994217,1447.190186,444.400055,307.696564,213.0159,272.801941,652.932251,200.568375,817.910583
2016-01-08,10589.599609,806.198975,149.345505,137.315094,240.317978,5479.498535,43.380882,37.599998,100.654968,1228.226563,46.564426,1406.456055,128.790039,6.3,846.591736,1243.442749,258.148651,1593.228516,134.076324,902.89978,186.596115,623.953796,1995.099365,1552.481201,308.245972,69.479393,74.281601,469.342438,174.064758,1081.413086,84.934647,88.158195,350.942505,468.232849,97.198105,1335.723022,201.526306,245.977463,38.471962,177.424423,57.666412,278.921661,124.267014,72.466789,493.909943,836.736572,164.296768,129.054276,105.763153,253.20549,69.845169,77.566078,23.286312,1077.226563,778.485291,2861.207031,191.886612,73.524796,548.634644,59.764912,160.426559,55.65646,29.944544,389.175812,320.200012,133.400833,60.383213,337.30127,176.579483,23.149485,125.882919,73.760696,148.690842,377.138977,515.691467,208.579559,286.482117,67.970024,13.843106,74.771919,749.141418,78.102715,8832.136719,1091.031128,210.397491,465.049988,70.726494,30.6,96.653526,107.018982,826.002014,463.71051,672.267456,254.038879,526.288574,43.20591,39.840824,95.222069,26.413717,30.6,27.15,84.599998,1231.642212,672.204407,118.926567,54.51086,281.188385,137.3367,137.669052,693.488831,299.087006,706.307007,38331.90625,1302.1427,153.850754,26.820812,208.15741,622.941833,57.638794,310.703461,402.581635,831.40979,165.916428,46.999973,349.817627,5139.275879,270.217896,80.878899,681.874695,12729.762695,579.708191,112.655998,2131.243652,22.18811,324.55835,538.771545,182.824554,163.033279,642.090698,5140.361816,114.634201,35.024349,503.516968,239.103683,491.540131,1273.088989,3424.548828,10895.697266,132.671524,86.782707,102.726158,1069.692993,156.363525,122.955536,660.36731,97.361092,67.05265,201.444855,421.866211,1073.595093,143.39476,467.475311,216.661667,463.253021,379.952911,502.355347,336.921265,1339.027588,198.683014,167.53743,4.569213,170.488876,2668.588867,64.21521,545.865417,90.603859,1462.074097,448.516968,310.634003,220.252991,280.849213,658.821167,202.738495,805.794312
2016-01-11,10653.950195,779.064148,149.258789,135.955566,240.933578,5433.786621,43.566048,37.299999,98.766792,1240.602783,46.807961,1405.027954,128.623398,6.3,845.865845,1247.9375,256.864441,1577.314453,131.601303,904.584106,186.502167,623.133606,1938.250488,1529.873779,302.950195,68.637085,75.500816,467.087402,168.754517,1086.552856,85.655899,87.358757,349.061035,463.911163,96.045181,1343.546997,199.900757,239.721481,40.883781,174.66037,57.488007,278.4758,122.687119,70.649063,499.484772,818.948181,162.033081,130.252914,105.763153,247.605896,67.641548,75.280434,23.333023,1048.429321,768.982178,2785.938965,189.620255,71.927925,554.239441,59.788673,156.338303,55.397896,29.944544,390.197327,319.75,129.721771,59.749172,332.730591,184.687973,22.843338,125.765671,74.473793,147.925308,370.855927,513.871094,208.60463,279.723022,68.288277,13.247705,75.744255,750.899048,77.659103,8734.105469,1079.093262,205.58931,461.799988,71.859291,30.700001,96.026527,112.037994,805.607483,460.396057,664.57605,257.952179,500.788269,43.115898,38.82753,93.255707,28.094002,32.099998,27.049999,83.949997,1177.336548,667.689453,120.925728,52.862907,276.858002,135.269669,134.570541,699.225525,295.633606,709.624817,38669.210938,1268.271851,150.649384,26.820812,202.045883,652.26355,58.268303,306.447876,401.723206,832.102661,165.96106,47.379345,347.455383,4990.275879,267.475555,78.67907,678.173096,12743.915039,568.707581,111.717377,2106.726074,21.70046,323.676025,533.646362,178.386475,161.323486,645.316772,5137.791016,118.390305,34.930065,504.229034,242.523331,503.927826,1251.639771,3411.746582,10660.351563,133.763626,87.80806,102.255592,1073.863892,156.928192,127.127235,661.918274,96.962059,67.002815,202.33786,418.91571,1057.815796,140.863388,463.697876,214.995529,450.078003,380.877625,494.45874,334.065155,1316.626587,198.550323,166.773895,4.602595,168.184952,2689.896729,63.573433,576.105774,91.870071,1467.417358,450.255249,312.788116,217.904526,282.505981,649.546082,196.045242,813.19873
2016-01-12,10657.049805,767.339111,152.862122,136.07695,243.84581,5328.649414,42.746044,36.299999,97.120674,1229.133179,45.979935,1403.694946,129.789978,6.15,844.946289,1278.701416,255.042694,1547.389893,126.19413,873.524719,184.059311,613.509338,1952.312988,1508.010254,305.810883,67.81694,74.868629,467.71109,170.168289,1048.078979,85.000221,88.047935,348.073212,458.84436,95.052376,1353.166016,194.831818,238.12587,41.030247,179.616608,58.246193,280.44696,123.357376,68.750587,512.800171,820.347656,159.316711,128.876694,103.21804,239.888794,68.408035,75.815361,22.958942,1049.192261,773.950623,2778.099121,180.979675,68.825424,541.660583,60.691681,154.269562,56.441391,29.944544,382.122864,320.450012,121.742599,59.786472,336.326782,187.421677,22.537188,123.918892,77.281593,147.429977,368.807098,508.215851,206.820206,274.003784,68.060951,13.247705,73.507889,758.253113,78.546318,8739.958984,1070.081787,203.27066,450.25,72.351814,30.15,94.57962,109.414848,802.086121,457.888458,643.868103,255.436462,493.582642,43.160904,38.090595,92.629219,27.170769,30.65,26.6,80.0,1183.912964,658.042847,119.462936,53.352844,267.667877,132.866165,133.235794,690.396057,291.83963,703.01886,38567.320313,1258.534668,148.83992,25.668182,201.635376,663.408386,56.02956,306.022339,404.856659,826.236023,169.577621,45.988312,340.146271,4963.45166,264.684265,76.432426,690.836548,12491.733398,580.030273,109.712128,2101.092285,21.569841,322.842682,528.037659,175.819626,158.607925,648.07605,5089.12793,111.853722,34.081562,503.991638,237.022156,500.980896,1258.499756,3410.934326,10351.736328,132.822159,86.642883,100.985039,1073.561279,157.210526,124.419296,667.93396,96.075363,67.152275,200.303818,418.577148,1042.009399,138.480927,464.400726,209.955063,450.166718,377.95752,493.418488,335.856262,1336.982544,194.348419,163.49971,4.531657,167.902832,2633.914551,63.202324,582.024414,95.293518,1463.812866,444.491516,307.255951,216.227066,272.091888,654.993286,200.222076,812.717834
2016-01-13,10514.299805,767.482727,148.574753,135.445755,239.181503,5238.862305,42.772491,35.549999,90.294151,1242.824097,43.203606,1347.949097,129.697403,6.05,840.735413,1238.698364,250.234512,1523.616333,124.207802,879.568115,178.468933,600.569763,1982.183594,1512.150391,306.165375,65.267853,79.293915,460.849945,170.582077,1047.979126,83.508553,83.582138,343.886932,441.458252,92.106018,1337.057739,190.224579,222.111343,38.784424,176.804886,55.882454,277.045929,119.59433,66.528946,503.493256,841.477173,155.740128,122.794624,103.78363,241.723969,65.006783,72.897522,22.538145,1034.078369,771.490601,2747.402832,181.404648,68.004166,541.147217,59.551037,146.634903,54.677597,29.944544,386.549225,320.450012,119.544724,57.660568,327.324677,182.695602,21.595196,118.740128,74.473793,142.161407,376.251221,514.623535,206.973648,268.709961,66.469681,13.892723,74.577446,770.324829,78.712669,8794.927734,1084.760498,205.631821,442.450012,70.480232,28.549999,92.602173,108.761429,818.568176,472.476166,641.452087,243.137543,491.336761,43.160904,37.169415,91.796951,26.044424,30.0,25.549999,77.800003,1193.77771,655.674377,116.976158,52.640217,260.835388,131.664398,130.327957,687.552734,290.915497,692.130066,38138.648438,1221.914795,145.963348,25.357857,205.512085,663.253601,54.404007,313.587769,384.596619,804.293579,161.049637,43.880688,339.544159,5019.382813,254.743286,76.760071,664.486877,12600.660156,575.703735,110.821411,2079.684326,20.699039,312.695679,531.3255,169.702271,156.261185,634.577087,5014.665527,109.951279,33.280193,488.136658,230.058929,516.027283,1218.98291,3432.27124,10297.126953,128.416107,82.960907,101.408554,1068.226929,151.987411,119.759666,654.210632,93.01619,66.554482,200.948746,420.753723,1020.578369,134.609421,459.832703,210.681396,447.5495,378.444183,478.570984,338.809174,1310.445679,210.138687,162.89772,4.402301,160.850067,2648.02124,62.668152,548.7005,93.042488,1442.610352,433.421539,296.387451,211.578033,273.322723,653.864685,199.346634,792.860352
2016-01-14,10403.900391,771.263428,148.834854,132.848022,238.021347,5158.216309,41.158936,35.75,91.940262,1226.549194,41.498837,1367.038696,126.234619,5.95,860.917847,1228.460327,250.204651,1498.329102,125.153664,869.76001,177.952194,600.376953,1943.735718,1517.360474,305.503601,64.874413,78.977814,447.511414,177.064667,1017.289673,84.869072,83.857796,340.782562,438.378448,88.134804,1333.559937,184.338074,206.622238,37.329517,178.949417,54.856667,273.834656,119.843292,67.579117,525.516479,851.816223,155.332672,121.551605,99.777443,244.500229,63.904964,72.119438,22.070543,1036.939087,785.817505,2770.258789,177.060745,67.570724,524.460999,59.455986,142.94072,53.51405,29.944544,375.799591,325.899994,114.671196,57.138412,334.076324,174.772476,21.383249,115.808769,75.276024,139.864838,377.366608,509.575104,205.723846,272.963898,65.242126,13.892723,72.632797,765.237183,78.684952,8832.632813,1077.003052,202.41217,441.200012,69.593681,27.799999,94.000847,105.806831,790.98407,494.107025,637.458557,246.771301,479.873291,42.530819,36.340359,91.774086,25.785917,29.0,24.950001,72.199997,1154.119385,638.404175,115.708382,50.522133,256.168243,127.530365,125.561035,682.514343,283.084473,680.010681,37876.042969,1211.432129,145.452972,25.180527,205.375244,671.568054,52.632599,302.807037,400.006256,797.179565,165.202026,43.374863,341.804535,5124.311035,252.098892,76.713257,671.695251,12501.967773,573.81665,109.477478,2073.013916,20.254927,308.82309,538.578125,168.982574,153.478561,629.525574,5038.523438,108.731758,33.468754,481.5383,222.277954,508.743988,1193.234009,3453.852051,9957.738281,129.169266,81.329651,98.161606,1033.404541,148.552414,124.224136,641.286133,91.686127,66.255577,195.541168,418.480438,1020.399109,133.07074,456.494537,203.974762,456.022278,370.073273,472.092987,330.821869,1292.134399,194.304199,160.108047,4.243735,155.678055,2591.249756,62.290054,540.69281,91.963867,1445.281982,422.626038,298.247803,203.286514,273.322723,635.854309,198.890427,785.119263
2016-01-15,10209.75,756.379822,141.348816,131.209259,236.245605,5209.17334,39.360214,34.349998,86.759842,1216.893066,40.378567,1363.087524,122.271835,5.75,851.092896,1193.20166,250.174759,1459.861572,121.228325,860.199463,170.623642,590.436523,1900.450806,1504.661133,304.03772,63.317234,75.275024,442.425507,176.961227,1003.816345,82.270966,81.955696,317.922607,422.532257,87.46228,1315.864136,183.068451,197.8853,36.733887,175.422882,53.206516,273.897919,117.248398,66.448105,474.190308,828.068176,151.756088,113.249886,93.933144,235.559708,63.186398,69.250214,22.210777,1027.069824,761.312073,2790.120605,169.883881,66.58979,513.935791,59.123295,133.138779,53.006153,29.944544,358.678009,314.049988,104.446365,55.795746,330.967285,163.096252,20.276403,109.838531,73.404144,136.082275,381.555237,505.885864,205.928452,265.637604,63.65086,13.644638,69.813049,743.961304,77.742279,8755.040039,1068.177612,192.709885,432.5,65.11171,27.0,84.451263,104.481041,778.806274,497.116058,606.791077,234.612106,469.064911,41.630699,36.064007,88.938873,24.391832,30.0,24.1,64.0,1093.038086,612.992371,115.025734,49.68084,252.992569,125.078796,119.983719,674.034058,282.452179,662.811279,37388.945313,1171.597656,136.498459,24.604212,205.329651,682.137878,52.454056,286.77774,394.082733,769.924744,163.371399,41.393696,332.800232,5107.478027,246.320419,74.373016,637.358032,12092.948242,568.569641,107.728218,2039.888184,19.384121,306.126984,537.611023,165.048264,148.617386,617.554871,5020.798828,102.048828,32.431694,469.955536,218.709595,514.326477,1172.171387,3416.785889,9575.365234,122.353058,76.575714,93.54998,1024.126953,144.976227,117.539635,642.085144,89.158989,66.454842,190.158401,400.77771,1012.473511,127.561279,446.480011,196.243195,461.833466,366.228485,463.297974,325.15802,1230.462646,194.392654,159.060684,3.955812,147.026627,2582.766357,61.79755,524.727234,86.94593,1426.751099,401.72113,290.512573,202.160187,265.464783,632.222961,198.1064,772.762329
2016-01-18,9837.700195,765.807739,134.77803,121.473854,210.272293,5021.466797,37.085361,31.950001,84.774818,1188.695679,37.650944,1280.206421,115.031456,5.5,823.069824,1147.904663,244.590118,1415.34082,109.420784,826.712952,161.415955,543.786865,1827.045898,1444.28125,294.746307,61.69912,72.430206,441.657837,169.547623,997.179504,78.935211,79.447128,320.932922,407.431183,85.925041,1272.671753,173.12294,183.563675,35.552387,169.656464,51.288765,261.403412,114.730118,64.711121,449.08017,822.198792,148.405853,102.550858,90.539658,232.736359,59.880974,66.526901,20.85478,1017.820435,744.669434,2732.149658,165.728867,64.03479,458.486115,58.505447,126.193687,50.983788,29.944544,331.925507,313.25,100.623985,54.751434,312.220612,158.277481,19.664108,103.809669,69.437561,131.984497,383.513062,497.973419,204.322571,261.147308,61.377613,12.99962,69.229652,749.233948,77.076866,8386.87793,1051.455322,191.55101,416.649994,63.535633,25.6,78.42247,104.604149,782.57196,493.62735,610.439636,225.154953,437.762726,38.750305,34.221661,90.630844,24.114866,30.049999,22.65,60.0,1041.024292,594.266541,107.565399,47.953716,246.063873,115.560875,110.97422,665.853088,271.119049,619.995056,35905.917969,1031.082397,134.225021,23.894903,200.358337,650.052185,47.924755,265.358063,384.381989,752.463257,158.102814,39.033157,309.307312,4959.939453,240.835739,69.177666,604.238342,11957.344727,551.263428,106.042984,1961.286987,18.434944,293.136871,521.655396,154.37291,141.610657,599.980774,4741.036133,103.512238,30.640408,451.062347,206.691223,487.275482,1103.57251,3284.454834,9479.917969,117.495079,71.262482,86.820786,1001.173096,141.823517,111.855392,614.591309,87.784599,66.05632,183.36171,387.23465,1019.8797,120.959862,439.320496,201.540161,459.038818,352.601349,448.166748,323.608978,1235.760742,171.392838,155.952881,3.630333,137.340866,2605.356445,61.030964,535.122253,84.835609,1392.954224,388.638489,279.644043,193.988449,257.275513,612.151611,199.582993,730.258545
2016-01-19,9962.450195,783.179871,132.562073,120.842628,217.517395,5069.728027,38.355045,33.650002,89.180588,1187.78894,39.112175,1266.686401,115.84623,5.45,818.472229,1169.679321,243.694199,1414.657349,109.010902,834.638611,166.67749,557.788696,1843.901001,1400.415039,298.339935,63.017998,76.765175,446.599762,172.685471,1002.019836,81.008789,76.718025,321.873657,411.504486,87.43026,1257.806274,168.784988,180.372452,35.601212,170.418991,51.868553,265.473145,116.53981,65.276726,436.640289,823.327515,149.401855,112.18441,90.633942,234.853882,59.833069,69.785149,20.574219,1020.967041,696.767883,2770.734131,173.613968,63.783848,475.001251,59.859959,131.36554,50.438953,29.944544,339.075653,319.950012,110.371025,55.795746,320.897919,164.995956,20.205757,105.930046,69.39299,134.731369,381.646332,502.803436,207.074982,268.851715,63.014343,13.346938,69.861671,749.696411,77.076866,8454.050781,1071.150391,196.402664,425.75,63.486378,25.85,80.592834,104.670448,775.627075,497.00705,637.606445,231.257828,442.675629,40.235508,34.728302,91.325928,24.641108,29.0,23.0,64.349998,1044.412231,591.848694,111.319946,48.31498,254.436035,113.686142,107.303696,667.150085,265.087677,629.928711,36073.375,1070.637207,135.709732,24.64855,204.326294,638.421021,50.397091,261.906342,387.129089,762.071716,157.433075,40.044827,314.587646,4953.368164,243.18631,72.079582,598.150146,12196.613281,566.360413,105.872322,1996.260498,19.270918,287.107452,521.945374,154.468887,145.935379,607.749023,4791.324219,105.756142,32.855942,455.192322,209.565735,500.093719,1096.374634,3348.222656,9616.005859,116.779594,75.084282,89.314835,1035.37146,142.247055,112.880028,617.787292,87.651581,65.757408,185.916656,392.023102,1020.623474,125.476624,441.692322,203.333618,454.691467,355.910797,431.522461,328.401398,1274.102295,183.467743,159.148773,3.855664,139.033524,2602.989014,60.146469,561.084961,86.758369,1382.862061,397.284027,284.197113,196.504684,262.103821,609.894165,197.704712,731.604675
