Date,Open,High,Low,Close,Adj Close,Volume
2020-03-16,661.000000,755.000000,656.000000,681.400024,680.135010,60887005
2020-03-17,691.000000,747.950012,689.000000,730.900024,729.543091,15145135
2020-03-18,752.099976,769.000000,680.000000,689.200012,687.920532,8949832
2020-03-19,660.000000,717.000000,650.000000,692.049988,690.765198,6432046
2020-03-20,706.250000,730.000000,690.250000,724.500000,723.154968,6492226
2020-03-23,659.000000,698.000000,580.000000,582.400024,581.318787,6260086
2020-03-24,620.000000,623.950012,575.049988,613.700012,612.560669,4019306
2020-03-25,601.000000,648.900024,591.400024,624.950012,623.789795,3487615
2020-03-26,634.000000,693.799988,621.450012,650.950012,649.741516,4360453
2020-03-27,675.000000,690.000000,650.000000,655.900024,654.682312,3114532
2020-03-30,640.000000,642.700012,607.000000,615.349976,614.207581,1791851
2020-03-31,635.000000,638.000000,608.549988,618.650024,617.501526,2334476
2020-04-01,624.000000,624.000000,601.250000,608.049988,606.921143,1500748
2020-04-03,613.799988,614.700012,588.000000,590.250000,589.154175,1693653
2020-04-07,605.000000,611.000000,582.000000,586.049988,584.961975,3137346
2020-04-08,584.799988,598.400024,576.000000,579.500000,578.424133,3090942
2020-04-09,585.049988,614.250000,575.000000,595.200012,594.095032,6139508
2020-04-13,580.000000,581.500000,501.100006,505.500000,504.561523,22872176
2020-04-15,510.000000,524.450012,502.000000,504.649994,503.713104,8436630
2020-04-16,505.000000,537.200012,501.000000,532.099976,531.112122,8012039
2020-04-17,546.000000,548.799988,523.000000,530.500000,529.515137,6749997
2020-04-20,534.750000,548.900024,528.500000,540.099976,539.097290,5766094
2020-04-21,528.900024,534.900024,518.000000,525.900024,524.923706,3249266
2020-04-22,527.000000,535.700012,520.099976,532.400024,531.411621,2719250
2020-04-23,539.000000,574.000000,535.000000,560.950012,559.908630,4983300
2020-04-24,557.700012,596.450012,552.099976,557.849976,556.814331,7823763
2020-04-27,563.700012,575.000000,542.849976,552.700012,551.673950,3304382
2020-04-28,556.000000,562.450012,547.450012,550.900024,549.877258,1975797
2020-04-29,555.400024,584.000000,548.400024,577.500000,576.427856,6121254
2020-04-30,591.000000,604.900024,585.000000,599.150024,598.037720,6038250
2020-05-04,566.200012,578.000000,566.200012,568.450012,567.394653,2066273
2020-05-05,577.750000,584.299988,550.599976,553.000000,551.973328,2247743
2020-05-06,557.000000,569.000000,542.000000,565.650024,564.599915,2355709
2020-05-07,563.000000,579.000000,558.900024,574.450012,573.383545,2201860
2020-05-08,585.000000,586.000000,548.599976,561.950012,560.906738,5124992
2020-05-11,552.000000,561.000000,543.000000,548.500000,547.481689,2746613
2020-05-12,542.000000,548.349976,530.200012,543.099976,542.091736,2114725
2020-05-13,570.000000,570.549988,545.250000,548.299988,547.282043,2376104
2020-05-14,543.000000,545.750000,537.099976,538.650024,537.650024,1456710
2020-05-15,542.000000,544.000000,535.250000,539.450012,539.450012,1044610
2020-05-18,540.000000,540.000000,526.000000,528.900024,528.900024,1212869
2020-05-19,535.000000,540.000000,529.150024,537.650024,537.650024,1329747
2020-05-20,537.000000,548.000000,534.599976,536.750000,536.750000,1142401
2020-05-21,539.400024,546.799988,536.150024,542.349976,542.349976,1181440
2020-05-22,541.400024,546.299988,495.000000,509.549988,509.549988,5257005
2020-05-26,515.000000,518.000000,496.500000,498.750000,498.750000,4517594
2020-05-27,501.600006,521.099976,496.000000,517.450012,517.450012,3008219
2020-05-28,520.000000,537.750000,518.150024,532.299988,532.299988,2381056
2020-05-29,528.000000,541.650024,524.200012,538.849976,538.849976,1540576
2020-06-01,544.000000,557.400024,544.000000,547.799988,547.799988,1938989
2020-06-02,554.500000,573.000000,552.750000,570.049988,570.049988,2740833
2020-06-03,578.000000,626.000000,577.000000,611.299988,611.299988,9382240
2020-06-04,615.000000,634.700012,607.000000,612.400024,612.400024,4581283
2020-06-05,618.000000,632.000000,615.049988,626.000000,626.000000,2893988
2020-06-08,634.900024,639.500000,611.200012,614.849976,614.849976,2619002
2020-06-09,618.000000,626.750000,607.200012,611.650024,611.650024,2338078
2020-06-10,612.000000,618.000000,593.549988,598.400024,598.400024,2051355
2020-06-11,595.450012,608.700012,590.000000,591.049988,591.049988,1353850
2020-06-12,552.500000,594.500000,552.500000,590.450012,590.450012,2363435
2020-06-15,585.000000,599.000000,583.349976,592.549988,592.549988,1081666
2020-06-16,602.450012,609.500000,577.000000,585.750000,585.750000,1533797
2020-06-17,580.000000,584.900024,575.049988,579.500000,579.500000,1143106
2020-06-18,578.000000,590.450012,577.200012,587.900024,587.900024,1240429
2020-06-19,592.700012,622.700012,587.099976,616.950012,616.950012,4045585
2020-06-22,622.750000,668.750000,620.400024,657.900024,657.900024,6535761
2020-06-23,664.950012,687.000000,663.000000,679.950012,679.950012,3797034
2020-06-24,684.750000,695.500000,661.000000,664.450012,664.450012,3224392
