,Returns,Standard Deviation,Sharpe Ratio,ASIANPAINT Weight,BAJFINANCE Weight,BAJAJFINSV Weight,BRITANNIA Weight,DIVISLAB Weight,GRASIM Weight,HCLTECH Weight,HDFCBANK Weight,HINDALCO Weight,HINDUNILVR Weight,ICICIBANK Weight,INFY Weight,JSWSTEEL Weight,LT Weight,NESTLEIND Weight,POWERGRID Weight,RELIANCE Weight,TCS Weight,TATACONSUM Weight,TATASTEEL Weight,TECHM Weight,TITAN Weight,ULTRACEMCO Weight,WIPRO Weight
42903,30.15942238000201,18.495009578161554,1.4371131989780814,6.17162373911389,9.247626591646169,9.408545749141558,0.9675204806780611,8.663097302570662,2.1362473099068344,1.4886995450665654,1.8370139334780335,0.12173024675667223,8.833884576165532,1.0786698943574895,2.7417880477289316,2.2505674024050313,0.4760820722877571,10.488135594755052,4.663998070943831,7.094924415440891,5.76108993914901,10.184459876830621,3.172765347947949,1.3956116403350827,0.3592782085702105,0.8306942798340575,0.6259457348901025
29004,27.759144145492666,16.95237456032343,1.4262983666066047,6.790801986274839,5.635279346934976,0.6340611448958107,9.210508396652575,7.729473082994777,1.9315062666264677,5.975561268008859,3.2320744289768304,0.7569738564446038,7.567932112933158,0.5946908815040464,3.3835757414163425,3.4700201806303497,0.42678400009489426,8.191921333947368,7.122644885305415,9.096754431557255,3.474481188993793,3.1560714987029814,1.2730438648473237,0.18541479820548415,8.103562938323384,1.6410778412483544,0.41578452448011854
25866,28.94323589517996,17.79754041817797,1.425097811227588,3.027304590456504,7.687577888439663,5.679035795549186,0.7644683672101156,7.421092876644105,1.0535340542901501,8.490409497921501,4.575696393855189,0.7686335174312154,6.037367439184868,2.600462490358478,4.188395398239243,5.3361690522669845,1.42102905790616,6.437809674664632,3.2873897087278614,6.015322483843343,4.5116799743865394,4.387380735893044,0.3021732523793735,5.276750953499901,7.892557934288942,0.05451556937760496,2.7832432931854094
45565,28.69361403815876,17.675809636276288,1.4207900263090507,3.8581950318367872,6.318713461620906,2.2536389944020594,1.9405404053118107,6.381356354428562,0.823810090666422,2.495583504197138,9.908895278789435,1.6315696220517957,10.49360976074403,0.3640540492840124,0.057257201767947644,9.639960235244182,2.7287966520000304,6.95865290170605,2.949100141484041,8.858779638212374,6.951591421291532,3.4733142716598024,0.691588733452557,0.7878532953583376,6.171998635061658,1.7635168989464343,2.4976234204821015
29866,29.606399188634953,18.36343492684088,1.417294710511567,2.3255256657966785,10.17655391899208,1.0392986057738778,1.7232435317360617,6.2450250395263875,0.24425991143198683,5.673243174470385,4.441621927707738,3.918310748548081,8.126780520764541,2.201303252028536,8.07073951996119,7.274711047297627,0.7906312961432386,5.600255952228996,0.17186189150823825,5.170554614958913,3.1561842861195477,5.039602363516361,1.747801305496112,1.9398424415599815,7.190987417925948,1.7550655945608025,5.976595971946681
30475,28.490340653852208,17.61353281010724,1.4142728163856946,10.985779319742965,8.380334160381599,5.862851809432694,10.320907921283563,8.511606996582723,1.8886651066251925,0.7394794986236087,3.5924735584326557,1.0347825472642407,6.871073313696624,3.952833893666315,0.2642919542712261,1.0045409517739434,0.8932105993316564,8.003115529815206,3.4486450693175263,5.497732794059827,11.409855220192778,1.9463917260248573,1.2607453063005847,0.10106399693488646,2.9180965289717786,0.10551187076048496,1.0060103265130527
48103,29.87597946125058,18.672955578267878,1.4082387413728226,1.7325611236371643,8.810447389836689,2.815284606867818,0.3413925821479439,7.603562878775796,3.6592240114348846,3.909142471506992,8.762636947853036,2.2729494615021233,2.54484121977415,1.3615140818763432,7.5631868005798975,7.458590785287219,1.5294502483293468,7.506500280342313,0.2943566511303751,4.955683100624802,5.273681986251328,9.604731530597459,0.21310512561901143,0.8503935361671902,7.098008083967601,1.6588075098717368,2.1799475860187854
17389,28.824061700528553,17.93162003316125,1.4077959299742175,5.7320511331049175,5.503995612056262,5.72839823400301,2.062241533712546,4.543477315911901,1.8708961097312768,2.5219613780155834,8.009069471921178,2.043753716647463,7.066272078068272,2.1334545834940704,7.513990767498556,5.0106379810317145,0.064710867435744,8.779478907466519,4.406028132567668,6.397914079545551,0.21123728892388974,5.834693984473089,2.593706354133945,0.6826691239647962,7.703060943752171,0.9278933502325806,2.6584070523072945
40139,27.86061494995141,17.303445347280938,1.403224297972939,3.597932636138955,5.647111080892999,1.125523218383754,3.394471314027453,8.481133300656813,0.9858439607943444,2.8309774159303327,6.328071903674323,1.2427233658518133,5.455807873368026,0.47802052772092957,9.972722456738591,5.741994261365981,0.920289688533054,9.773904412570573,1.539934946715717,1.7053007732312127,4.170187121312964,7.133648318815366,1.5250100503448836,3.7016293750111515,6.343889948287234,3.0960141948026427,4.807857854830872
12319,29.832820369568473,18.722224281973475,1.4022276399522555,2.3752386011081548,7.757942487464518,2.3398701273485187,0.4269683251183179,5.052848552876401,1.4051853226048263,9.232535249734031,2.3137516666757336,0.575626660829177,2.5273560984851904,4.669130993718264,0.27454332175202745,9.243490871096231,0.5839362979233808,7.823460524667032,0.8168938601995631,8.937354788899311,8.46802197983938,7.738598909353479,2.1221702101472033,4.152826277349517,7.753228082367808,2.253134642358978,1.1558861480829545
